"CAJERO"|"GCC"|"ENTIDAD"|"OFICINA"|"NOMBRE_CALLE"|"NUMERO"|"COD_POSTAL"|"POBLACION"|"PROVINCIA"|"latitud"|"longitud"|"LIBRETA"|"INGRESO"|"RECIBOS"|"CONTACTLESS"|"TRANS"|"EXTRAER"|"CON_SALDO"|"COSTE_EXTRACCION"|"EXCEPCIONES"
"00001"|1|"3058"|100|"Av. Almanzora"|21|"04860"|"Olula del Río"|"ALMERÍA"|37.355326|-2.295778|1|0|0|0|0|1|1|0|0
"00005"|1|"3058"|255|"C/ Mayor"|176|"30360"|"Alcantarilla"|"MURCIA"|37.967666|-1.2174262|1|0|0|0|0|1|1|0|0
"00021"|1|"3058"|126|"Av. Mediterráneo (Rambla Campos)"|0|"04638"|"Mojácar"|"ALMERÍA"|37.134388|-1.830275|1|0|1|1|1|1|1|0|0
"00022"|1|"3058"|65|"C/ Murcia"|86|"04004"|"Almería"|"ALMERÍA"|36.8439815|-2.4583315|1|0|0|0|0|1|1|0|0
"00024"|1|"3058"|125|"C/ Del Mar"|33|"04620"|"Vera"|"ALMERÍA"|37.247548|-1.86641|1|0|1|1|1|1|1|0|0
"00041"|1|"3058"|269|"C/ Mayor"|126|"30158"|"Los Garres"|"MURCIA"|37.958322|-1.091126|0|0|0|0|0|1|1|0|0
"00042"|1|"3058"|296|"C/ Alonso de Ojeda"|4|"30007"|"Murcia"|"MURCIA"|37.99262|-1.122075|1|0|1|1|1|1|1|0|0
"00045"|1|"3058"|18|"C/ Real"|21|"04880"|"Tíjola"|"ALMERÍA"|37.345103|-2.4401935|1|0|1|1|1|1|1|0|0
"00046"|1|"3058"|297|"C/ Mayor"|51|"30579"|"Torreagüera"|"MURCIA"|37.983058|-1.05289|1|0|1|1|1|1|1|0|0
"00050"|1|"3058"|302|"Gran Vía"|85|"30530"|"Cieza"|"MURCIA"|38.239989|-1.419543|1|0|1|1|1|1|1|0|0
"00051"|1|"3058"|249|"C/ Maestro Puig Valera"|63|"30140"|"Santomera"|"MURCIA"|38.059703|-1.048466|1|0|0|1|1|1|1|0|0
"00052"|1|"3058"|254|"C/ Mayor"|65|"30360"|"La Unión"|"MURCIA"|37.61735|-0.87734|1|0|0|0|0|1|1|0|0
"00053"|1|"3058"|129|"C/Orquídea,esq. Pl.Campillo del Moro"|0|"04720"|"Aguadulce"|"ALMERÍA"|36.80916|-2.58067|1|0|1|1|1|1|1|0|0
"00054"|1|"3058"|227|"Av. Filipinas"|63|"30366"|"El Algar"|"MURCIA"|37.646571|-0.868167|1|0|1|1|1|1|1|0|0
"00055"|1|"3058"|303|"Av. de Los Antones"|68|"04640"|"Pulpí"|"ALMERÍA"|37.40263|-1.7512713|1|0|0|0|1|1|1|0|0
"00057"|1|"3058"|308|"C/ Cartagena"|18|"30002"|"Murcia"|"MURCIA"|37.980511|-1.131624|0|0|0|0|0|1|1|0|0
"00059"|1|"3058"|148|"Pasaje del Puerto"|10|"04700"|"El Ejido"|"ALMERÍA"|36.695797|-2.787738|1|0|1|1|1|1|1|0|0
"00061"|1|"3058"|17|"Pl. Cura Valera"|14|"04600"|"Huércal Overa"|"ALMERÍA"|37.389539|-1.9431077|1|0|1|1|1|1|1|0|0
"00062"|1|"3058"|311|"C/ Reina Victoria"|15|"30204"|"Cartagena"|"MURCIA"|37.609863|-0.990422|1|0|1|1|1|1|1|0|0
"00063"|1|"3058"|316|"C/ Mayor"|20|"30820"|"Alcantarilla"|"MURCIA"|37.9727573|-1.2084574|1|0|1|1|1|1|1|0|0
"00067"|1|"3058"|327|"C/ Saavedra Fajardo,esq.C/San Lorenzo"|0|"30001"|"Murcia"|"MURCIA"|37.9861807|-1.1272079|1|0|1|1|1|1|1|0|0
"00069"|1|"3058"|319|"C/ Dr. Fleming"|28|"30110"|"Churra"|"MURCIA"|38.021937|-1.1357331|1|0|1|1|1|1|1|0|0
"00070"|1|"3058"|246|"C/ Menéndez Pelayo,esq.C/Juan Cierva"|0|"30565"|"Las Torres de Cotillas"|"MURCIA"|38.024599|-1.244486|1|0|1|1|1|1|1|0|0
"00071"|1|"3058"|299|"C/ Juan Fernández"|18|"30204"|"Cartagena"|"MURCIA"|37.6075742|-0.9874895|1|0|1|1|1|1|1|0|0
"00073"|1|"3058"|147|"Polígono Industrial La Redonda,calle 13"|29|"04700"|"El Ejido"|"ALMERÍA"|36.784421|-2.7495369|1|0|1|1|1|1|1|0|0
"00076"|1|"3058"|163|"C/Madrid,esq.C/Hermanos Lirola"|0|"04700"|"El Ejido"|"ALMERÍA"|36.772222|-2.8119137|1|0|0|1|1|1|1|0|0
"00077"|1|"3058"|185|"C/ Venta Gaspar"|2|"04120"|"La Cañada"|"ALMERÍA"|36.868128|-2.386136|1|0|1|1|1|1|1|0|0
"00078"|1|"3058"|145|"Ctra. de Torrecárdenas"|50|"04230"|"Huércal de Almería"|"ALMERÍA"|36.870137|-2.439523|1|0|0|0|0|1|1|0|0
